Frequency (Hz)	Level (dB)
897.216797	-48.850658
897.949219	-48.321377
898.681641	-49.693298
899.414062	-50.213062
900.146484	-49.609138
900.878906	-48.942543
901.611328	-48.696602
902.343750	-49.466476
903.076172	-48.191357
903.808594	-47.884476
904.541016	-47.965111
905.273438	-46.713829
906.005859	-46.892391
906.738281	-46.681324
907.470703	-47.083508
908.203125	-47.533005
908.935547	-48.135399
909.667969	-48.047760
910.400391	-47.602081
911.132812	-48.756947
911.865234	-47.441502
912.597656	-47.801678
913.330078	-48.846275
914.062500	-47.621166
914.794922	-47.460144
915.527344	-46.631172
916.259766	-47.477650
916.992188	-47.400867
917.724609	-47.053955
918.457031	-47.075195
919.189453	-45.846226
919.921875	-45.242847
920.654297	-46.164780
921.386719	-45.532700
922.119141	-44.722679
922.851562	-44.687172
923.583984	-44.750896
924.316406	-44.680103
925.048828	-44.730450
